FECHA,HH,HSC
01/01/13,3.425,3.33
02/01/13,3.425,3.33
03/01/13,3.3,3.22
04/01/13,3.195,3.08
05/01/13,3.205,3.12
06/01/13,3.205,3.12
07/01/13,3.205,3.12
08/01/13,3.29,3.23
09/01/13,3.215,3.185
10/01/13,3.135,3.095
11/01/13,3.08,3.07
12/01/13,3.18,3.12
13/01/13,3.18,3.12
14/01/13,3.18,3.12
15/01/13,3.385,3.38
16/01/13,3.4,3.385
17/01/13,3.435,3.38
18/01/13,3.44,3.365
19/01/13,3.54,3.5
20/01/13,3.54,3.5
21/01/13,3.54,3.5
22/01/13,3.54,3.5
23/01/13,3.625,3.545
24/01/13,3.535,3.42
25/01/13,3.565,3.455
26/01/13,3.42,3.36
27/01/13,3.42,3.36
28/01/13,3.42,3.36
29/01/13,3.25,3.175
30/01/13,3.13,3.125
31/01/13,3.235,3.195
01/02/13,3.33,3.22
02/02/13,3.335,3.225
03/02/13,3.335,3.225
04/02/13,3.335,3.225
05/02/13,3.275,3.18
06/02/13,3.34,3.25
07/02/13,3.41,3.33
08/02/13,3.385,3.315
09/02/13,3.255,3.225
10/02/13,3.255,3.225
11/02/13,3.255,3.225
12/02/13,3.195,3.185
13/02/13,3.305,3.275
14/02/13,3.28,3.26
15/02/13,3.295,3.27
16/02/13,3.19,3.155
17/02/13,3.19,3.155
18/02/13,3.19,3.155
19/02/13,3.19,3.155
20/02/13,3.225,3.2
21/02/13,3.34,3.28
22/02/13,3.29,3.24
23/02/13,3.265,3.21
24/02/13,3.265,3.21
25/02/13,3.265,3.21
26/02/13,3.42,3.37
27/02/13,3.455,3.4
28/02/13,3.495,3.425
01/03/13,3.485,3.455
02/03/13,3.54,3.465
03/03/13,3.54,3.465
04/03/13,3.54,3.465
05/03/13,3.535,3.46
06/03/13,3.63,3.61
07/03/13,3.575,3.555
08/03/13,3.535,3.485
09/03/13,3.575,3.535
10/03/13,3.575,3.535
11/03/13,3.575,3.535
12/03/13,3.635,3.6
13/03/13,3.705,3.665
